NOMBRE                                                                                   	DIRECCION                                                                                                                  	CODIGO POSTAL	TELEFONO    	RIF        	ZONA DE TRANSPORTE     	PERSONA DE CONTACTO	CENTRO SUMINISTRADOR	
prueba tres                                                                              	Sucre, Cariaco, direccion fiscal, la esquina de cremita                                                                    	1212         	0414-1141414	J-225320208	<ZONA DEFINIDA POR TQL>	                   	                    	
prueba borrar                                                                            	Sucre, Cariaco, direccion                                                                                                  	1212         	0414-1414141	G-200003030	<ZONA DEFINIDA POR TQL>	                   	                    	
prueba tres comercio                                                                     	Sucre, Cariaco, direc                                                                                                      	1414         	0414-1414141	J-088617397	<ZONA DEFINIDA POR TQL>	                   	                    	
asdasd sadasd                                                                            	Sucre, Cariaco, asdasdasd Dirección fiscal                                                                                 	1010         	0414-1414141	J-402098537	<ZONA DEFINIDA POR TQL>	                   	                    	
adsasd                                                                                   	Sucre, Cariaco, asdasd                                                                                                     	1010         	0414-1445555	V-22532024 	<ZONA DEFINIDA POR TQL>	                   	                    	
Prueba de punto de referencia PN                                                         	Distrito Capital, Av. Sucre, Urb. El buen nombre                                                                           	1212         	0412-3434343	V-23456123 	<ZONA DEFINIDA POR TQL>	                   	                    	
La Fábrica de Rogelio                                                                    	Distrito Capital, El Valle, El valle                                                                                       	1212         	0412-4343434	J-302406641	<ZONA DEFINIDA POR TQL>	                   	                    	
Prueba                                                                                   	Carabobo, Naguanagua, Naguanagua                                                                                           	1212         	0412-3467566	V-3453112  	<ZONA DEFINIDA POR TQL>	                   	                    	
Johanna prospectos                                                                       	Distrito Capital, Bello Monte, Valle Abajo                                                                                 	1040         	0424-6565646	J-308654159	<ZONA DEFINIDA POR TQL>	                   	                    	
Prospectos Joha                                                                          	Portuguesa, Guanarito, HOLA                                                                                                	1040         	0424-6545465	J-408796490	<ZONA DEFINIDA POR TQL>	                   	                    	
pavitas                                                                                  	Falcón, Carirubana, avenida bolivar con calle sucre                                                                        	1212         	0412-2123423	J-404127496	<ZONA DEFINIDA POR TQL>	                   	                    	
prueba                                                                                   	Distrito Capital, Av. Sucre, Catia                                                                                         	1213         	0412-1212122	V-12313133 	<ZONA DEFINIDA POR TQL>	                   	                    	
Warning                                                                                  	Amazonas, La Esmeralda, asdasd                                                                                             	1212         	0412-1212121	V-21346612 	<ZONA DEFINIDA POR TQL>	                   	                    	
warning two                                                                              	Carabobo, guigue, aqui                                                                                                     	1234         	0412-3434343	V-23451626 	<ZONA DEFINIDA POR TQL>	                   	                    	
warning three                                                                            	Anzoátegui, Anaco, adda                                                                                                    	1212         	0412-1212121	V-213345566	<ZONA DEFINIDA POR TQL>	                   	                    	
warning cuatro                                                                           	Anzoátegui, Anaco, adsasda                                                                                                 	1212         	0412-1212121	V-1233434  	<ZONA DEFINIDA POR TQL>	                   	                    	
warning cinco                                                                            	Anzoátegui, Anaco, asdasd                                                                                                  	1212         	0412-3434343	V-12313123 	<ZONA DEFINIDA POR TQL>	                   	                    	
warning cinco                                                                            	Anzoátegui, Anaco, asdasd                                                                                                  	1212         	0412-3434343	V-1231323  	<ZONA DEFINIDA POR TQL>	                   	                    	
warning cinco                                                                            	Anzoátegui, Anaco, a                                                                                                       	1212         	123         	V-1231303  	<ZONA DEFINIDA POR TQL>	                   	                    	
asdasd                                                                                   	Apure, Apurito, asdasdad                                                                                                   	1122         	123         	V-123131312	<ZONA DEFINIDA POR TQL>	                   	                    	
asdasd                                                                                   	Apure, Apurito, asdads                                                                                                     	1122         	123         	V-123123123	<ZONA DEFINIDA POR TQL>	                   	                    	
asdads                                                                                   	Aragua, Camatagua, asdasd                                                                                                  	1233         	123         	V-234234243	<ZONA DEFINIDA POR TQL>	                   	                    	
sdfsf                                                                                    	Anzoátegui, Barcelona, adadadad                                                                                            	1212         	123         	V-213434323	<ZONA DEFINIDA POR TQL>	                   	                    	
Arreglo warning                                                                          	Carabobo, Flor Amarillo, Av. Bolivar                                                                                       	1122         	123         	V-215676655	<ZONA DEFINIDA POR TQL>	                   	                    	
Prueba                                                                                   	Barinas, Santa Rosa, Av. Nuevo país                                                                                        	1212         	0412-3434343	V-2134567  	<ZONA DEFINIDA POR TQL>	                   	                    	
asdad                                                                                    	Aragua, El Consejo, adasdasd                                                                                               	1212         	0412-1321231	V-253212345	<ZONA DEFINIDA POR TQL>	                   	                    	
adsasd                                                                                   	Aragua, Colonia Tovar, asdasdad                                                                                            	1122         	0412-1231231	V-23456234 	<ZONA DEFINIDA POR TQL>	                   	                    	
addfd sdasd                                                                              	Aragua, Colonia Tovar, asdadsd                                                                                             	1122         	0412-2343424	V-213567845	<ZONA DEFINIDA POR TQL>	                   	                    	
adsasd asdad                                                                             	Barinas, Libertad, asdad mmasd                                                                                             	1122         	0412-2342342	V-213456575	<ZONA DEFINIDA POR TQL>	                   	                    	
gfhfgh                                                                                   	Bolivar, El Callao, hjkjljk                                                                                                	1231         	0412-3454564	V-131388812	<ZONA DEFINIDA POR TQL>	                   	                    	
asdasd                                                                                   	Apure, Apurito, adasdad                                                                                                    	1231         	0412-3131312	V-214545665	<ZONA DEFINIDA POR TQL>	                   	                    	
dsda                                                                                     	Anzoátegui, Cantaura, asdad                                                                                                	1122         	0412-3131132	V-21415664 	<ZONA DEFINIDA POR TQL>	                   	                    	
adadsad                                                                                  	Aragua, Camatagua, adadasd                                                                                                 	1122         	0412-3131313	V-123123345	<ZONA DEFINIDA POR TQL>	                   	                    	
Prueba o                                                                                 	Amazonas, Ciudad Bolivia, adadsa                                                                                           	1122         	0412-3434534	V-213452211	<ZONA DEFINIDA POR TQL>	                   	                    	
adadasd                                                                                  	Amazonas, La Esmeralda, sdfsdf                                                                                             	1212         	0412-1213131	V-234514545	<ZONA DEFINIDA POR TQL>	                   	                    	
sdfdg                                                                                    	Bolivar, Caicara del Orinoco, dasdads                                                                                      	1312         	0412-3535353	V-12312313 	<ZONA DEFINIDA POR TQL>	                   	                    	
adasd                                                                                    	Aragua, Colonia Tovar, aadad                                                                                               	1122         	0412-2323232	V-213434343	<ZONA DEFINIDA POR TQL>	                   	                    	
ssfsfsf                                                                                  	Aragua, Camatagua, asdadsasd                                                                                               	1122         	0412-1212121	V-32445512 	<ZONA DEFINIDA POR TQL>	                   	                    	
hhasd                                                                                    	Carabobo, Isabelica, ADADADS                                                                                               	1122         	0412-1212121	J-404957979	<ZONA DEFINIDA POR TQL>	                   	                    	
PataPata                                                                                 	Apure, Clarines, asdads                                                                                                    	1122         	0412-1212121	J-307133317	<ZONA DEFINIDA POR TQL>	                   	                    	
Fabricamos fabrica                                                                       	Distrito Capital, Av. Sucre, av. Sucre                                                                                     	1212         	0412-2334343	J-000746532	<ZONA DEFINIDA POR TQL>	                   	                    	
Prueba                                                                                   	Falcón, Dabajuro, asdads                                                                                                   	1212         	0412-3231312	V-21346744 	<ZONA DEFINIDA POR TQL>	                   	                    	
